"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.531247220E0,-7.751550674E-1,-1.702728271E-1,7.469379902E-1
2.550073522E0,-1.037415147E0,-2.417612076E-1,7.075865269E-1
2.568899824E0,-1.263314724E0,-3.644943237E-3,7.575545311E-1
2.587726178E0,-1.807586432E0,3.344011307E-1,5.054826736E-1
2.606552480E0,-2.487412214E0,5.789899826E-1,1.387596130E-1
2.625378782E0,-2.635060787E0,6.551570892E-1,-1.635870934E-1
2.644205085E0,-2.468640566E0,5.780715942E-1,-3.527011871E-1
2.663031387E0,-2.311136007E0,7.111253738E-1,-4.010317326E-1
2.681857741E0,-2.079005241E0,8.845167160E-1,-7.596733570E-1
2.700684043E0,-1.908190250E0,1.013138771E0,-1.100628376E0
2.719510345E0,-1.756985426E0,1.017092705E0,-1.272262096E0
2.738336647E0,-1.564963579E0,1.076068878E0,-1.368158698E0
2.757163001E0,-1.212318659E0,8.423824310E-1,-1.260649443E0
2.775989303E0,-7.594468594E-1,1.654701233E-1,-1.154784679E0
2.794815605E0,-3.061580658E-1,-9.074821472E-1,-1.088739395E0
2.813641907E0,5.637669563E-2,-1.695312023E0,-1.243085742E0
2.832468262E0,2.276134491E-1,-1.806692123E0,-1.237556577E0
2.851294564E0,2.404940128E-1,-1.383858681E0,-1.364012241E0
2.870120866E0,1.760900021E-1,-7.758073807E-1,-1.501937866E0
2.888947168E0,3.065798283E-1,-2.731599808E-1,-1.344836712E0
2.907773522E0,5.707784891E-1,2.502012253E-1,-1.248895288E0
2.926599824E0,5.275349617E-1,3.574085236E-1,-1.463756561E0
2.945426126E0,1.354691982E-1,4.779348373E-1,-1.185604453E0
2.964252428E0,-3.920769691E-2,4.629430771E-1,-1.046593189E0
2.983078782E0,-3.468656540E-1,5.288391113E-1,-1.122453928E0
3.001905085E0,-6.074502468E-1,9.872531891E-2,-6.889712811E-1
3.020731387E0,-5.426483154E-1,9.183692932E-2,-9.451937675E-2
