"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.681170064E0,-4.365124106E-1,4.895563126E-1,-7.416129112E-1
2.699996418E0,-9.055588245E-1,7.955865860E-1,-1.243381262E0
2.718822772E0,-1.295580983E0,6.569957733E-1,-1.789063931E0
2.737649178E0,-1.398017406E0,4.667549133E-1,-2.040052176E0
2.756475532E0,-1.205065250E0,1.910390854E-1,-2.187812328E0
2.775301887E0,-1.252779484E0,-3.365755081E-1,-1.933533192E0
2.794128241E0,-1.212934494E0,-6.002435684E-1,-1.251094818E0
2.812954647E0,-1.370043874E0,-5.035181046E-1,-5.800840855E-1
2.831781001E0,-2.023130417E0,-2.244176865E-1,-6.981968880E-2
2.850607355E0,-2.743125916E0,2.963237762E-1,4.119026661E-1
2.869433710E0,-3.322969198E0,6.778383255E-1,9.164080620E-1
2.888260064E0,-3.854639769E0,1.299088478E0,1.250286579E0
2.907086470E0,-3.954575777E0,1.148880005E0,1.464274406E0
2.925912824E0,-2.884675264E0,-3.277835846E-1,2.122137308E0
2.944726105E0,-9.307585955E-1,-2.090370655E0,2.396319151E0
2.963565585E0,5.129954815E-1,-2.067827225E0,2.206371069E0
2.982391939E0,1.737010598E0,-9.584674835E-1,1.983549118E0
3.001205168E0,2.245426655E0,1.149491310E0,1.580791235E0
3.020044647E0,2.125476837E0,1.971245766E0,1.571648359E0
3.038871053E0,2.216405869E0,4.916667938E-1,7.362108231E-1
3.057697407E0,2.667769194E0,-2.263450623E-1,1.292870045E-1
3.076523762E0,2.738255262E0,-1.451940536E-1,3.402013779E-1
3.095350116E0,2.529601097E0,-8.345861435E-1,1.422745228E0
3.114176522E0,2.522299290E0,-5.057010651E-1,2.133937359E0
3.133002876E0,2.161797523E0,6.833715439E-1,2.114341974E0
3.151829230E0,1.064783096E0,7.948818207E-1,2.144668341E0
3.170655637E0,-9.390902519E-2,-3.749227524E-1,2.325645685E0
3.189489693E0,-7.004324198E-1,-1.019513130E0,2.353959560E0
