"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.240371560E-1,1.899735034E-1,-3.985778242E-2,9.987352788E-2
4.263903850E-1,1.936385781E-1,-4.459185153E-2,1.084253863E-1
4.287436140E-1,1.971509457E-1,-4.581354558E-2,1.195733473E-1
4.310968440E-1,2.031067163E-1,-4.321744293E-2,1.330119967E-1
4.334500730E-1,2.078407854E-1,-3.833066672E-2,1.478250325E-1
4.358033020E-1,2.125748396E-1,-2.748812735E-2,1.588202864E-1
4.381565310E-1,2.159345001E-1,-1.175880991E-2,1.759240031E-1
4.405098120E-1,2.128802687E-1,1.603474095E-2,1.954711229E-1
4.428630410E-1,1.907370538E-1,8.918370306E-2,2.254026383E-1
4.452095520E-1,1.485885978E-1,1.780619770E-1,2.649549842E-1
4.475560620E-1,1.090362370E-1,2.464768738E-1,3.020639718E-1
4.499090830E-1,7.956285775E-2,3.005368412E-1,3.356605768E-1
4.523091350E-1,5.986303091E-2,3.631486893E-1,3.694098890E-1
4.547091870E-1,4.245388508E-2,4.616478086E-1,4.092676640E-1
4.571095520E-1,3.023693897E-2,6.059604883E-1,4.844018817E-1
4.595098640E-1,3.176405653E-2,6.697940230E-1,5.147915483E-1
4.619101250E-1,4.443913698E-2,7.383615971E-1,5.404471159E-1
4.643103850E-1,5.848862603E-2,8.034168482E-1,5.661026835E-1
4.667106460E-1,7.131642103E-2,8.648070097E-1,5.856497884E-1
4.691109060E-1,8.322793990E-2,9.127585292E-1,5.978667736E-1
4.715111660E-1,9.147437662E-2,9.512419105E-1,6.051968932E-1
4.739114270E-1,9.498675168E-2,9.776610136E-1,6.087092757E-1
4.763116870E-1,9.605573118E-2,9.969027042E-1,6.074876189E-1
4.787119480E-1,8.979454637E-2,1.007592559E0,6.061131954E-1
4.811122080E-1,8.246438205E-2,1.013548255E0,6.047387719E-1
4.835125210E-1,7.360709459E-2,1.015991688E0,6.058077812E-1
4.859127810E-1,6.490252167E-2,1.013548255E0,6.131379604E-1
4.883130410E-1,5.482354015E-2,1.007592559E0,6.215370893E-1
4.907133020E-1,4.474456236E-2,1.004080176E0,6.348230243E-1
4.931135620E-1,3.710897267E-2,9.981244206E-1,6.531484127E-1
4.955138230E-1,3.054236248E-2,9.958337545E-1,6.751389503E-1
4.979140830E-1,2.397575416E-2,9.900307059E-1,6.983511448E-1
5.003143440E-1,2.244863659E-2,9.830059409E-1,7.203416228E-1
5.027146560E-1,2.199050039E-2,9.772028923E-1,7.461498976E-1
5.051148640E-1,2.046338283E-2,9.736905098E-1,7.718055248E-1
5.075151770E-1,2.382304333E-2,9.691091776E-1,7.963921428E-1
5.099154370E-1,2.580829710E-2,9.717052579E-1,8.244910836E-1
5.123156980E-1,3.161134571E-2,9.706363082E-1,8.441908956E-1
5.147159580E-1,3.741439432E-2,9.732323885E-1,8.663341403E-1
5.171162190E-1,4.337015375E-2,9.758284688E-1,8.848122358E-1
5.195164790E-1,4.810422286E-2,9.782719016E-1,9.006943107E-1
5.219167390E-1,5.390727147E-2,9.808679819E-1,9.167290330E-1
5.243170000E-1,5.864133686E-2,9.845330715E-1,9.327637553E-1
5.267173120E-1,6.459710002E-2,9.859074950E-1,9.474241138E-1
5.291175730E-1,6.673506647E-2,9.883508682E-1,9.634588361E-1
5.315178330E-1,6.765133142E-2,9.897252917E-1,9.805625677E-1
5.339180940E-1,6.872031838E-2,9.886562824E-1,1.000109673E0
5.363183540E-1,6.826218218E-2,9.935430884E-1,1.019809484E0
5.387186140E-1,6.536065787E-2,9.996515512E-1,1.044243336E0
5.411188750E-1,6.490252167E-2,1.006981730E0,1.065012217E0
5.435191350E-1,6.337540597E-2,1.014311910E0,1.088224411E0
5.459193960E-1,6.169557199E-2,1.019351363E0,1.107771516E0
5.483197080E-1,6.001574174E-2,1.028972149E0,1.127318621E0
5.507199690E-1,5.971032009E-2,1.039967418E0,1.145491362E0
5.531202290E-1,5.803048983E-2,1.053253412E0,1.162595034E0
5.555204890E-1,5.650337040E-2,1.065317631E0,1.178477049E0
5.579207500E-1,5.619794875E-2,1.077381849E0,1.193137407E0
5.603210100E-1,5.696150661E-2,1.093111157E0,1.209019423E0
5.627212710E-1,5.909947306E-2,1.106397152E0,1.224901438E0
5.651215310E-1,6.139015034E-2,1.119683027E0,1.237271070E0
5.675217910E-1,5.971032009E-2,1.134190679E0,1.255596519E0
5.699221040E-1,5.680879578E-2,1.147476554E0,1.273769259E0
5.722909580E-1,5.894676223E-2,1.158471823E0,1.293469071E0
5.746441870E-1,5.589252338E-2,1.172979474E0,1.315306902E0
5.769974160E-1,5.421269313E-2,1.187487125E0,1.336075664E0
5.793506460E-1,4.764608666E-2,1.198482275E0,1.360509515E0
5.817038750E-1,4.092676565E-2,1.211768270E0,1.382347345E0
5.840571040E-1,3.420744836E-2,1.226275921E0,1.404185176E0
5.864103330E-1,2.519745007E-2,1.240783453E0,1.424801230E0
5.887635620E-1,1.481304597E-2,1.257581830E0,1.446639061E0
5.911168440E-1,3.206948051E-3,1.273311138E0,1.467255116E0
5.934700730E-1,-7.177455351E-3,1.289040446E0,1.482984424E0
5.958233020E-1,-1.740914769E-2,1.304617047E0,1.498713732E0
5.981765310E-1,-2.886253223E-2,1.317902923E0,1.513221383E0
