"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.916468440E-1,-6.909275651E-1,8.944371223E0,4.989633560E0
5.940000730E-1,-7.471588850E-1,8.915059090E0,4.960321426E0
5.963533020E-1,-8.027920127E-1,8.909076691E0,4.906482697E0
5.987065310E-1,-8.644071817E-1,8.908478737E0,4.901099205E0
6.010597600E-1,-8.871390224E-1,8.912666321E0,4.852046013E0
6.034129890E-1,-9.254241586E-1,8.960522652E0,4.826921463E0
6.057662190E-1,-9.960124493E-1,9.026325226E0,4.773082733E0
6.081194480E-1,-1.053440213E0,9.073583603E0,4.771886349E0
6.104726770E-1,-1.109671474E0,9.120243073E0,4.713262558E0
6.128259060E-1,-1.167099237E0,9.190832138E0,4.663611412E0
6.151791870E-1,-1.243071318E0,9.228518486E0,4.648057938E0
6.175324160E-1,-1.310070395E0,9.266205788E0,4.642076015E0
6.198856460E-1,-1.371685624E0,9.284749985E0,4.650450706E0
6.222388750E-1,-1.390229940E0,9.303294182E0,4.616353035E0
6.245921040E-1,-1.413560033E0,9.284152031E0,4.606781960E0
6.269453330E-1,-1.436890006E0,9.278767586E0,4.587040901E0
6.292985620E-1,-1.446461320E0,9.250054359E0,4.606781960E0
6.316517910E-1,-1.465005636E0,9.226125717E0,4.596612453E0
6.340050730E-1,-1.474576950E0,9.240483284E0,4.587040901E0
6.363583020E-1,-1.483550072E0,9.239884377E0,4.548755646E0
6.387115310E-1,-1.488335729E0,9.273384094E0,4.519443989E0
6.410647600E-1,-1.502094388E0,9.315856934E0,4.490131855E0
6.434179890E-1,-1.516451359E0,9.358329773E0,4.441677094E0
6.457712190E-1,-1.487139225E0,9.382257462E0,4.374678135E0
6.481244480E-1,-1.486541033E0,9.415757179E0,4.345963955E0
6.504776770E-1,-1.490728498E0,9.434301376E0,4.287938118E0
6.528309060E-1,-1.471585870E0,9.439086914E0,4.255036831E0
6.551841350E-1,-1.433300734E0,9.458230019E0,4.235894203E0
6.575373640E-1,-1.405185103E0,9.468399048E0,4.236492634E0
6.598906460E-1,-1.395613790E0,9.482755661E0,4.236492634E0
6.622438750E-1,-1.372283816E0,9.482755661E0,4.236492634E0
6.645971040E-1,-1.358525038E0,9.521040916E0,4.241278172E0
6.669503330E-1,-1.338186026E0,9.506684303E0,4.194019794E0
6.693035620E-1,-1.286142230E0,9.507282257E0,4.170690060E0
6.716567910E-1,-1.252044439E0,9.526425362E0,4.127619267E0
6.740100210E-1,-1.218544960E0,9.559925079E0,4.070789337E0
6.763632500E-1,-1.170090318E0,9.559925079E0,4.018745422E0
6.787165310E-1,-1.127019525E0,9.579067230E0,3.990031719E0
