"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.061190698E0,-3.767347336E-1,-1.834239960E-1,2.433928967E0
3.080016583E0,-4.468274117E-2,-4.324722290E-2,2.452224970E0
3.098842521E0,4.835414886E-2,-1.176834106E-3,2.104401827E0
3.117668406E0,-2.438015938E-1,-8.259296417E-2,1.749771833E0
3.136494291E0,-5.812473297E-1,-2.626075745E-1,1.478943110E0
3.155320177E0,-6.780653000E-1,-4.317426682E-1,1.433754206E0
3.174146062E0,-7.473888397E-1,-5.353689194E-1,1.526598215E0
3.192972000E0,-8.081669807E-1,-5.738725662E-1,1.488232136E0
3.211797885E0,-9.415826797E-1,-7.860069275E-1,1.376984596E0
3.230623771E0,-1.212596893E0,-1.096580029E0,1.420319796E0
3.249449656E0,-1.033256531E0,-1.424981117E0,1.391818047E0
3.268275541E0,-8.358323574E-1,-1.619714260E0,1.062138557E0
3.287101479E0,-1.021342993E0,-1.396509171E0,7.022325993E-1
3.305927364E0,-1.296497583E0,-1.013177872E0,2.169046402E-1
3.324753250E0,-1.196446180E0,-1.593055725E-1,-1.988546848E-1
3.343579135E0,-5.613687038E-1,5.500411987E-1,-3.472747803E-1
3.362405021E0,1.854815483E-1,1.037521362E0,5.069756508E-2
3.381230958E0,8.092422485E-1,1.527974129E0,2.691900730E-1
3.400056843E0,1.201814294E0,1.184967995E0,3.111584187E-1
3.418882729E0,1.088125825E0,9.617986679E-1,3.209397793E-1
3.437708614E0,9.769741297E-1,1.458084106E0,5.241737366E-1
3.456534552E0,1.155356288E0,1.458589554E0,8.152856827E-1
3.475360437E0,1.611056447E0,8.304195404E-1,1.100328922E0
3.494186323E0,1.864890218E0,4.915618896E-2,1.017040491E0
3.513012208E0,2.003981113E0,-5.722370148E-1,7.479732037E-1
3.531838146E0,2.221408606E0,-8.446254730E-1,2.635350227E-1
3.550664031E0,2.495212078E0,-7.520589828E-1,-1.054353714E-1
3.569489916E0,2.595211029E0,-3.183364868E-1,-3.933248520E-1
3.588315802E0,2.457890511E0,4.146575928E-2,-9.915003777E-1
3.607141739E0,2.222725391E0,8.890914917E-2,-1.562635064E0
3.625967625E0,2.282443047E0,-2.721595764E-1,-1.830348372E0
3.644793510E0,2.477242708E0,-7.990875244E-1,-1.767449737E0
3.663619396E0,2.536564827E0,-1.088248253E0,-1.496166825E0
3.682445333E0,2.368221760E0,-1.085294724E0,-1.459609270E0
3.701271218E0,2.052030087E0,-7.829694748E-1,-1.438555121E0
3.720097104E0,1.896646500E0,-4.637050629E-1,-1.332563400E0
3.738922989E0,1.718969107E0,3.258161545E-1,-1.090570092E0
3.757748927E0,1.652692318E0,1.111222267E0,-9.531936646E-1
3.776574812E0,1.529954433E0,1.649465561E0,-1.016659975E0
3.795400698E0,1.404886127E0,1.752180099E0,-1.380526066E0
3.814226635E0,1.448348880E0,1.521908760E0,-1.299336195E0
3.833052521E0,1.683150053E0,1.210546494E0,-6.985912323E-1
3.851878406E0,1.827577472E0,1.222388268E0,-2.385902405E-2
3.870704291E0,1.640585423E0,1.675909996E0,5.296916962E-1
3.889530229E0,1.454972267E0,2.002516747E0,1.041023016E0
3.908356114E0,1.054356098E0,2.160433769E0,1.416657209E0
3.927182000E0,6.445487738E-1,1.715357780E0,1.603751779E0
3.946007937E0,1.452373862E-1,1.282594681E0,1.676141977E0
3.964833823E0,-1.084321737E-1,4.785499573E-1,1.986869335E0
3.983659708E0,-2.105329037E-1,-6.497774124E-1,2.359076738E0
4.002485646E0,-3.142306805E-1,-1.826789379E0,2.540666103E0
4.021311531E0,-6.515023708E-1,-2.140205860E0,2.480633259E0
4.040137416E0,-1.304696083E0,-1.407587051E0,2.444134235E0
4.058950229E0,-2.373446465E0,-2.786922455E-2,2.149219036E0
4.077789239E0,-2.816599846E0,6.047887802E-1,2.047347546E0
4.096615125E0,-2.576744556E0,-7.062816620E-2,2.161855698E0
4.115441010E0,-2.397017956E0,-1.121320724E0,2.161573410E0
4.134266948E0,-2.789772511E0,-1.715462208E0,1.723576188E0
4.153092833E0,-3.071823120E0,-1.676913261E0,1.467648149E0
4.171918718E0,-2.859884262E0,-1.460965157E0,1.206640601E0
4.190744656E0,-2.548955917E0,-7.724180222E-1,9.362469912E-1
4.209570541E0,-2.162128448E0,-1.517391205E-1,6.585993767E-1
4.228396479E0,-2.079620123E0,1.721277237E-1,3.041758537E-1
4.247222364E0,-2.230707884E0,2.946214676E-1,2.082328796E-1
4.266048250E0,-2.222496748E0,4.416017532E-1,2.510004044E-1
4.284874187E0,-2.012675047E0,5.491743088E-1,3.061056137E-1
4.303700073E0,-1.577613950E0,7.241296768E-1,5.506453514E-1
4.322525958E0,-9.892172813E-1,8.338527679E-1,7.269423008E-1
4.341351896E0,-6.211017370E-1,6.756877899E-1,6.836340427E-1
4.360177781E0,-3.690198064E-1,6.969308853E-1,4.294679165E-1
4.379003718E0,-4.631954432E-2,8.331413269E-1,1.480817795E-1
4.397829604E0,3.247321248E-1,1.035387993E0,-1.626443863E-1
4.416655541E0,8.669924140E-1,6.294498444E-1,-5.254275799E-1
4.435481427E0,1.577390194E0,-3.492670059E-1,-8.296489716E-1
4.454307312E0,1.872389317E0,-1.224113464E0,-1.287229300E0
4.473133250E0,1.732424259E0,-1.449891090E0,-1.758679986E0
4.491959135E0,1.442583084E0,-1.162180901E0,-1.973818302E0
4.510785073E0,1.160171628E0,-6.447486877E-1,-2.087798357E0
4.529610958E0,1.026526928E0,-1.213521957E-1,-2.154504299E0
4.548436896E0,1.114429235E0,2.713079453E-1,-2.132271528E0
4.567262781E0,1.197792292E0,4.764871597E-1,-2.232966661E0
4.586088666E0,1.133319378E0,3.182125092E-1,-2.253653765E0
4.604914604E0,1.200797439E0,-2.383069992E-1,-1.997240186E0
4.623740489E0,1.223285198E0,-6.175413132E-1,-1.396527290E0
4.642566375E0,8.070583344E-1,-1.208449841E0,-6.505067348E-1
4.661392312E0,9.711706638E-2,-1.816563129E0,1.129724979E-1
4.680218198E0,-6.706445217E-1,-2.019143105E0,9.069247246E-1
4.699044135E0,-1.294716239E0,-1.234921455E0,1.662311792E0
4.717870021E0,-1.672725081E0,1.999578476E-1,2.457282782E0
4.736695958E0,-1.902893782E0,1.162391663E0,2.916279554E0
4.755521843E0,-2.107714415E0,1.198699951E0,3.273926497E0
4.774347781E0,-2.388473988E0,4.527730942E-1,3.332559824E0
4.793173666E0,-2.853587151E0,9.473133087E-2,2.920914888E0
4.811999604E0,-2.990370512E0,-8.382606506E-2,2.300671577E0
4.830825489E0,-2.719093800E0,-3.330907822E-1,1.759952307E0
4.849651427E0,-2.444008350E0,-5.286026001E-2,1.391024590E0
4.868477312E0,-2.300546169E0,4.167671204E-1,1.326512814E0
4.887303250E0,-2.376084805E0,6.950654984E-1,1.319684744E0
4.906129135E0,-2.706418514E0,9.159212112E-1,1.236848593E0
4.924955021E0,-3.162292957E0,1.001571655E0,1.062438726E0
4.943780958E0,-3.460438967E0,1.172783852E0,6.545250416E-1
4.962606896E0,-3.257747412E0,1.464582443E0,6.845951080E-2
4.981432781E0,-2.523770571E0,2.033793449E0,-4.096083641E-1
5.000258718E0,-2.154027462E0,1.865796089E0,-1.117478132E0
5.019084604E0,-1.967714906E0,8.002204895E-1,-2.203274965E0
5.037910489E0,-1.403227806E0,-4.814863205E-1,-3.283364773E0
5.056736427E0,-3.943555355E-1,-1.358329296E0,-4.295895576E0
5.075549239E0,9.886088967E-1,-1.602970600E0,-4.390455723E0
5.094388250E0,2.442439795E0,-1.759513855E0,-3.832394123E0
5.113214135E0,3.554063797E0,-1.347409248E0,-3.349012375E0
5.132040073E0,4.437941551E0,-3.589076996E-1,-3.385253906E0
5.150865958E0,5.076133251E0,3.290891647E-1,-3.279764891E0
5.169691896E0,5.252129555E0,-1.383953094E-1,-3.222595692E0
5.188517781E0,5.027182102E0,-8.068447113E-1,-3.020754576E0
5.207343718E0,4.393757820E0,-8.860607147E-1,-2.879507542E0
5.226169656E0,3.493894577E0,-7.400732040E-1,-2.743193865E0
5.244995541E0,2.346797228E0,-3.015937805E-1,-2.131172180E0
5.263821479E0,1.326025009E0,6.505775452E-2,-1.253485680E0
5.282647364E0,1.415230930E-1,5.455198288E-1,-3.411960602E-1
5.301460177E0,-1.271666884E0,4.969711304E-1,-8.679699898E-2
5.320299187E0,-2.384344816E0,3.225545883E-1,3.360726833E-1
5.339125125E0,-2.618101120E0,8.197164536E-1,6.863677502E-1
5.357951010E0,-1.963521719E0,1.412019730E0,5.605752468E-1
5.376776948E0,-8.076681495E-1,2.377411842E0,6.498277187E-1
5.395602885E0,1.143701375E-1,2.702130318E0,3.326110840E-1
5.414428771E0,7.471004128E-2,2.293397903E0,-2.338888645E-1
5.433254708E0,-1.615790129E-1,1.426724434E0,-6.714687347E-1
5.452080593E0,-4.207625389E-1,5.267677307E-1,-9.978268147E-1
5.470906531E0,-7.999816537E-1,-3.449916840E-2,-1.419107676E0
5.489732416E0,-1.128584385E0,2.359390259E-3,-1.555365324E0
5.508558354E0,-1.217836499E0,2.763624191E-1,-1.482179880E0
5.527384291E0,-1.258884668E0,2.224655151E-1,-1.227000475E0
5.546210177E0,-1.351486564E0,-1.330680847E-1,-1.013518810E0
5.565036114E0,-1.636995792E0,-7.113466263E-1,-8.531713486E-1
5.583862000E0,-1.850484252E0,-1.024228096E0,-7.762784958E-1
5.602687937E0,-1.764901519E0,-9.950933456E-1,-4.161555767E-1
5.621513823E0,-1.312761903E0,-8.538703918E-1,-4.660558701E-2
5.640339760E0,-1.093372345E0,-4.733505249E-1,7.644104958E-2
