"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.749347556E0,2.887353897E-1,1.133731127E0,1.228375435E0
5.768172244E0,-5.182714462E-1,1.182874203E0,3.282546997E-1
5.786996879E0,-1.035122156E0,1.041945219E0,-2.320766449E-2
5.805821514E0,-1.033997774E0,6.436965466E-1,1.343660355E-1
5.824646202E0,-1.026808262E0,4.660167694E-1,1.966667175E-2
5.843470837E0,-1.096333742E0,7.416074276E-1,4.351043701E-2
5.862295473E0,-1.184661865E0,9.819014072E-1,2.657880783E-1
5.881120160E0,-1.222056389E0,9.016687870E-1,3.978977203E-1
5.899944796E0,-1.062855482E0,1.898485422E-1,4.048633575E-1
5.918769483E0,-1.255731106E0,-4.237209558E-1,1.478939056E-1
5.937594119E0,-1.864134312E0,-5.423481464E-1,-1.635484695E-1
5.956418754E0,-2.541116714E0,-3.067512512E-1,-3.551120758E-1
5.975243442E0,-2.740444183E0,-5.518603325E-1,-6.488342285E-1
5.994068077E0,-2.501792908E0,-7.292258739E-1,-8.909549713E-1
6.012892712E0,-2.091736317E0,-7.341274023E-1,-1.423286438E0
6.031717400E0,-1.590070486E0,-9.099599123E-1,-2.014300823E0
6.050542035E0,-1.084319115E0,-9.254775047E-1,-2.261369705E0
6.069366671E0,-7.185888290E-1,-2.378997803E-1,-1.935186863E0
6.088191358E0,-3.774825335E-1,1.150004864E-1,-1.403880596E0
6.107015994E0,-3.543782234E-2,-1.040234566E-1,-1.137989998E0
6.125840681E0,2.678402662E-1,-4.222675562E-1,-1.048388481E0
6.144665317E0,1.234339476E-1,-5.697927475E-1,-1.078680038E0
6.163489952E0,-3.013641834E-1,-5.310056210E-1,-1.124975204E0
6.182314639E0,-7.885551453E-1,-3.024419546E-1,-9.436626434E-1
6.201139275E0,-8.367896080E-1,-3.299067020E-1,-9.365224838E-1
6.219963962E0,-3.311440945E-1,-5.967353582E-1,-8.666648865E-1
6.238788598E0,-1.813910007E-1,-5.136846304E-1,-6.628131866E-1
6.257613233E0,-3.252906799E-1,-4.979531765E-1,-4.290637970E-1
6.276437921E0,-4.117461443E-1,-5.519342422E-1,-3.581571579E-1
6.295262556E0,-2.671242952E-1,-5.640609264E-1,-1.970167160E-1
6.314087244E0,-2.224227190E-1,-4.098329544E-1,1.921463013E-2
6.332911879E0,-2.524347305E-1,-3.667085171E-1,1.527252197E-1
6.351736567E0,-2.184845209E-1,-5.300989151E-1,1.072006226E-1
6.370561202E0,-2.331705093E-1,-8.125717640E-1,1.650705338E-1
6.389385889E0,-6.288529634E-1,-7.324078083E-1,2.975034714E-1
6.408210525E0,-1.022359371E0,-7.195265293E-1,3.587369919E-1
6.427035160E0,-1.241310835E0,-6.823012829E-1,5.318813324E-1
6.445859848E0,-1.495218039E0,-5.684590340E-1,7.613220215E-1
6.464684535E0,-1.580841303E0,-7.939822674E-1,6.068439484E-1
6.483509171E0,-1.658941507E0,-6.015598774E-1,3.103761673E-1
6.502333806E0,-1.591186762E0,2.425646782E-1,3.693704605E-1
6.521158494E0,-1.302928686E0,1.203097820E0,7.534294128E-1
6.539983181E0,-7.966229916E-1,9.882626534E-1,9.139308929E-1
6.558807817E0,-3.824219704E-1,8.216745853E-1,6.729612350E-1
6.577632504E0,-4.205935001E-1,8.337566853E-1,4.251995087E-1
6.596457139E0,-5.121800900E-1,5.518512726E-1,-1.404685974E-1
6.615281775E0,-3.398890495E-1,2.664461136E-1,-6.577849388E-1
6.634106462E0,5.131459236E-2,2.849667072E-1,-8.856654167E-1
6.652931150E0,8.818743229E-1,-4.038343430E-1,-1.228237152E0
6.671755785E0,1.399219275E0,-3.777465820E-1,-1.404242992E0
6.690580473E0,8.453869820E-1,5.483670235E-1,-1.315300941E0
6.709405108E0,4.808406830E-1,1.505723000E0,-7.553334236E-1
6.728229796E0,4.462931156E-1,1.566799879E0,2.057237625E-1
6.747054431E0,1.152288914E-1,7.911813259E-1,1.064306259E0
6.765879119E0,-9.490699768E-1,-3.178696632E-1,1.146480560E0
6.784703806E0,-2.118725777E0,-9.808683395E-1,1.046607018E0
6.803528442E0,-2.676075935E0,-1.198552370E0,9.202260971E-1
6.822353129E0,-2.590573311E0,-1.139316320E0,1.090997696E0
6.841177764E0,-2.085394382E0,-1.138737082E0,1.340173721E0
6.860002452E0,-1.533075333E0,-8.046987057E-1,1.559112549E0
6.878827087E0,-1.007886887E0,-3.083770275E-1,1.688657761E0
6.897651775E0,-7.059814930E-1,5.130519867E-1,1.701517105E0
6.916476462E0,-5.031058788E-1,1.129429817E0,1.363186836E0
6.935301098E0,1.495957375E-1,5.225284100E-1,6.296606064E-1
6.954125785E0,1.161227465E0,-1.830673218E-2,-1.358890533E-2
6.972950473E0,1.723016739E0,5.226883888E-1,2.025985718E-2
6.991775108E0,1.842799425E0,2.325520992E0,5.277156830E-2
7.010599796E0,1.584151149E0,3.429558754E0,2.914161682E-1
7.029424483E0,1.354090691E0,2.984887362E0,2.248477936E-1
7.048249119E0,1.334612250E0,1.404546499E0,-2.666730881E-1
7.067060681E0,8.566265106E-1,-2.443358898E-1,-1.521854877E0
7.085898494E0,1.234896183E-1,-1.059748888E0,-2.941122532E0
7.104723129E0,-1.615221500E-1,-1.502324343E0,-3.247615337E0
7.123547817E0,7.193546295E-1,-1.583139300E0,-3.115365982E0
7.142372452E0,1.111693859E0,3.579783440E-2,-2.435356140E0
7.161197139E0,1.024731278E0,9.029388428E-1,-1.780518055E0
7.180021827E0,9.866109490E-1,7.825274467E-1,-1.458849907E0
7.198846462E0,9.180462360E-2,7.637460232E-1,-9.481220245E-1
7.217671150E0,-9.267663956E-1,4.232022762E-1,-6.661777496E-1
7.236482712E0,-2.387799263E0,4.816644192E-1,-3.518581390E-1
7.255320525E0,-3.615222931E0,2.736854553E-1,-1.296701431E-1
7.274145160E0,-3.986192942E0,4.068732262E-2,-4.503078461E-1
7.292969848E0,-4.054761887E0,-1.432683468E-1,-3.243265152E-1
7.311794535E0,-3.621552229E0,-1.108848333E0,2.456121445E-1
7.330619171E0,-3.548585176E0,-1.151576161E0,4.829282761E-1
7.349443858E0,-3.997735500E0,-7.970658541E-1,4.415092468E-1
7.368268546E0,-4.237514019E0,-9.829632044E-1,-1.315498352E-1
7.387093233E0,-4.139871597E0,-9.833368063E-1,-5.809116364E-1
7.405917869E0,-3.501029491E0,-7.296526432E-1,-5.730667114E-1
