"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.633831629E1,-6.608976364E0,7.241877556E0,6.533003807E0
8.634066983E1,-6.675975323E0,7.322037220E0,6.497709751E0
8.634302332E1,-6.737590313E0,7.369295597E0,6.477370739E0
8.634537686E1,-6.818946362E0,7.359126091E0,6.485745907E0
8.634773035E1,-6.851847649E0,7.268198967E0,6.529414654E0
8.635008390E1,-6.869793892E0,7.119843960E0,6.587440968E0
8.635243744E1,-6.878767014E0,6.972086906E0,6.646064758E0
8.635479093E1,-6.877570629E0,6.866802692E0,6.646663189E0
8.635714447E1,-6.895516872E0,6.795018196E0,6.618547440E0
8.635949796E1,-6.932007313E0,6.812964439E0,6.497709751E0
8.636185150E1,-6.963113785E0,6.821339130E0,6.363113403E0
8.636420499E1,-7.003791809E0,6.834499836E0,6.242276192E0
8.636655853E1,-7.064210415E0,6.852446079E0,6.164509296E0
8.636891202E1,-7.138388157E0,6.832107067E0,6.077769279E0
8.637126556E1,-7.194619656E0,6.774679184E0,6.072385788E0
8.637361910E1,-7.231708050E0,6.673582554E0,6.067600250E0
8.637597259E1,-7.273582458E0,6.563512325E0,6.106483459E0
8.637832614E1,-7.291528702E0,6.453442574E0,6.121438503E0
8.638067962E1,-7.300501823E0,6.348158360E0,6.155536175E0
8.638303317E1,-7.281957626E0,6.276971817E0,6.232704639E0
8.638538666E1,-7.254439831E0,6.234499454E0,6.296114445E0
8.638774020E1,-7.213163853E0,6.259624004E0,6.378068924E0
8.639009369E1,-7.176673412E0,6.303293228E0,6.425925255E0
8.639244723E1,-7.144968510E0,6.361319065E0,6.497709751E0
8.639480077E1,-7.137191772E0,6.424130440E0,6.540780544E0
8.639715426E1,-7.109674454E0,6.486942291E0,6.579065800E0
8.639950780E1,-7.114459991E0,6.558128834E0,6.530611038E0
8.640186129E1,-7.114459991E0,6.610172749E0,6.482156754E0
8.640421483E1,-7.080362320E0,6.639484406E0,6.439085960E0
8.640656832E1,-7.032505512E0,6.596413612E0,6.411568165E0
8.640892186E1,-6.969694138E0,6.510870457E0,6.394220352E0
8.641127535E1,-6.893123627E0,6.372684956E0,6.424728870E0
8.641362890E1,-6.783053875E0,6.220740795E0,6.466004848E0
8.641598244E1,-6.671189308E0,6.026323795E0,6.464210510E0
8.641833593E1,-6.575476646E0,5.888736725E0,6.490531445E0
8.642068947E1,-6.498308182E0,5.736194134E0,6.492924213E0
8.642304296E1,-6.416952133E0,5.617749214E0,6.523432732E0
8.642539650E1,-6.335596085E0,5.504090309E0,6.554539204E0
8.642774999E1,-6.245266914E0,5.400002480E0,6.589833736E0
8.643010353E1,-6.150750637E0,5.286941528E0,6.683153629E0
8.643245702E1,-6.065207005E0,5.182255745E0,6.738188744E0
8.643481056E1,-5.946762562E0,5.097908497E0,6.812366009E0
8.643716410E1,-5.843272686E0,4.984847546E0,6.896114826E0
8.643951759E1,-5.733801365E0,4.880760193E0,6.936792850E0
8.644187114E1,-5.644070625E0,4.791627407E0,7.044469833E0
8.644422462E1,-5.548357487E0,4.701896667E0,7.065407276E0
8.644657817E1,-5.449055195E0,4.602594376E0,7.140182972E0
8.644893166E1,-5.396413326E0,4.517649174E0,7.165307522E0
8.645128520E1,-5.330012321E0,4.442275047E0,7.224529743E0
8.645363869E1,-5.282754421E0,4.418945312E0,7.249654293E0
8.645599223E1,-5.260022163E0,4.395017147E0,7.293323517E0
8.645834577E1,-5.254638672E0,4.362115860E0,7.307680130E0
8.646069926E1,-5.260022163E0,4.376472473E0,7.326822758E0
8.646305280E1,-5.250451088E0,4.357329845E0,7.331608772E0
8.646540629E1,-5.251049519E0,4.338785648E0,7.365706444E0
8.646775983E1,-5.274379253E0,4.333401680E0,7.365108013E0
8.647011332E1,-5.279164791E0,4.314259052E0,7.374679565E0
8.647246686E1,-5.307280540E0,4.275974274E0,7.393822193E0
8.647482035E1,-5.321039200E0,4.223331928E0,7.384250641E0
8.647717390E1,-5.348556995E0,4.150351048E0,7.370491982E0
8.647952744E1,-5.371288776E0,4.116851330E0,7.350750923E0
8.648188093E1,-5.398806095E0,4.054039955E0,7.302894592E0
8.648423447E1,-5.392824173E0,4.034897327E0,7.250850677E0
8.648658796E1,-5.438885689E0,4.009772778E0,7.173084259E0
8.648894150E1,-5.447260857E0,4.000201225E0,7.130013466E0
8.649129499E1,-5.498706341E0,3.994219303E0,7.071389198E0
8.649364853E1,-5.536393166E0,4.003192425E0,7.051648140E0
8.649600202E1,-5.597410202E0,3.993022680E0,7.031309128E0
8.649835556E1,-5.630909920E0,4.012165546E0,7.030711174E0
8.650070910E1,-5.687739372E0,3.996612072E0,6.996613503E0
8.650306259E1,-5.724828243E0,3.977469444E0,6.986443996E0
8.650541614E1,-5.753541946E0,3.972085476E0,6.986443996E0
8.650776962E1,-5.809773445E0,3.933800459E0,6.985845566E0
8.651012317E1,-5.842076302E0,3.909274101E0,6.951747894E0
8.651247666E1,-5.903093338E0,3.889533281E0,6.922435760E0
8.651483020E1,-5.926423550E0,3.860221148E0,6.927221775E0
8.651718374E1,-5.982655048E0,3.816552162E0,6.921837807E0
8.651953723E1,-6.034100533E0,3.763910055E0,6.911668301E0
8.652189077E1,-6.061617851E0,3.681955814E0,6.873383045E0
8.652424426E1,-6.083751678E0,3.623929977E0,6.811169624E0
8.652659780E1,-6.105885029E0,3.533002615E0,6.773482800E0
8.652895129E1,-6.113063812E0,3.417548895E0,6.735795975E0
8.653130483E1,-6.140581131E0,3.345764160E0,6.707081795E0
8.653365832E1,-6.153741837E0,3.245265722E0,6.702894211E0
8.653601186E1,-6.152545452E0,3.135195971E0,6.713063717E0
8.653836535E1,-6.142375946E0,3.024527788E0,6.714260101E0
8.654071890E1,-6.131608009E0,2.895913601E0,6.734599113E0
8.654307244E1,-6.117250919E0,2.800798893E0,6.783053875E0
8.654542593E1,-6.083153248E0,2.720041037E0,6.798607349E0
8.654777947E1,-6.044867992E0,2.591426849E0,6.829115868E0
8.655013296E1,-6.001797199E0,2.487339020E0,6.873383045E0
8.655248650E1,-5.973083496E0,2.401795626E0,6.908079147E0
8.655483999E1,-5.920441628E0,2.306680918E0,6.967301369E0
8.655719353E1,-5.864210129E0,2.250449657E0,7.035496712E0
8.655954702E1,-5.811567783E0,2.160120726E0,7.070192814E0
8.656190056E1,-5.746363640E0,2.142174482E0,7.139584541E0
8.656425410E1,-5.694917679E0,2.161915302E0,7.183253765E0
8.656660759E1,-5.658427238E0,2.200798512E0,7.221538544E0
8.656896114E1,-5.635097504E0,2.239681959E0,7.264609337E0
8.657131462E1,-5.603990555E0,2.345564365E0,7.331608772E0
8.657366817E1,-5.596213818E0,2.398804665E0,7.389036179E0
8.657602166E1,-5.593223095E0,2.499303341E0,7.441080093E0
8.657837520E1,-5.614160061E0,2.590230465E0,7.492526054E0
8.658072869E1,-5.663811207E0,2.671586514E0,7.563114166E0
8.658308223E1,-5.712863922E0,2.761915445E0,7.624131203E0
8.658543572E1,-5.761917114E0,2.824128866E0,7.676175117E0
8.658778926E1,-5.862415314E0,2.889931440E0,7.702496052E0
8.659014280E1,-5.953342915E0,2.961117983E0,7.715058327E0
8.659249629E1,-6.025127411E0,2.998805046E0,7.728219032E0
8.659484983E1,-6.139384747E0,3.050848961E0,7.712067604E0
8.659720332E1,-6.253642082E0,3.097508907E0,7.715058327E0
8.659955686E1,-6.362515450E0,3.120240688E0,7.713263988E0
8.660191035E1,-6.476174355E0,3.147758245E0,7.682157040E0
8.660426390E1,-6.604190350E0,3.151347399E0,7.675576687E0
8.660661744E1,-6.694519520E0,3.145365477E0,7.693522930E0
8.660897093E1,-6.799205780E0,3.139981508E0,7.682755470E0
8.661132447E1,-6.884150982E0,3.133999348E0,7.686344624E0
8.661367796E1,-6.987640381E0,3.108874798E0,7.636693478E0
8.661603150E1,-7.095915318E0,3.122035265E0,7.606184959E0
8.661838499E1,-7.170691490E0,3.092125177E0,7.562515736E0
8.662073853E1,-7.264609337E0,3.114856958E0,7.498507977E0
8.662309202E1,-7.382455826E0,3.113660574E0,7.463213921E0
8.662544556E1,-7.447660446E0,3.098107100E0,7.390232563E0
8.662779905E1,-7.514061451E0,3.102294445E0,7.380063057E0
8.663015259E1,-7.570292473E0,3.125624657E0,7.326224804E0
8.663250614E1,-7.626523972E0,3.153141975E0,7.281957626E0
8.663485962E1,-7.654639721E0,3.181257725E0,7.247859955E0
8.663721317E1,-7.650452137E0,3.214757204E0,7.238288403E0
8.663956666E1,-7.650452137E0,3.238685369E0,7.247261524E0
8.664192020E1,-7.641479015E0,3.253042459E0,7.237690449E0
8.664427369E1,-7.636693478E0,3.272184849E0,7.252047062E0
8.664662723E1,-7.581060410E0,3.273381472E0,7.310671329E0
8.664898077E1,-7.557730198E0,3.273381472E0,7.320242882E0
8.665133426E1,-7.510472298E0,3.293122053E0,7.339983463E0
8.665368780E1,-7.468597889E0,3.308077335E0,7.374081135E0
8.665604129E1,-7.421339512E0,3.318246841E0,7.389036179E0
8.665839483E1,-7.332206726E0,3.329014540E0,7.409973621E0
8.666074832E1,-7.270591736E0,3.339184046E0,7.424928665E0
8.666310186E1,-7.194619656E0,3.344567776E0,7.416553974E0
8.666545535E1,-7.118647575E0,3.330809116E0,7.417750359E0
8.666780890E1,-7.052844524E0,3.340978622E0,7.423133850E0
8.667016244E1,-6.962515831E0,3.327818155E0,7.410571575E0
8.667251593E1,-6.910471916E0,3.328416348E0,7.406384468E0
8.667486947E1,-6.824928284E0,3.314657450E0,7.398009300E0
8.667722296E1,-6.738188744E0,3.324826956E0,7.365706444E0
8.667957650E1,-6.657430649E0,3.311068296E0,7.352545738E0
8.668192999E1,-6.571289062E0,3.335594654E0,7.301100254E0
8.668428353E1,-6.504888535E0,3.360121250E0,7.277770042E0
8.668663702E1,-6.443273067E0,3.388834953E0,7.249654293E0
8.668899056E1,-6.363113403E0,3.451646566E0,7.216753006E0
8.669134410E1,-6.301498413E0,3.500101328E0,7.202994347E0
8.669369759E1,-6.235695839E0,3.543770313E0,7.198806763E0
8.669605114E1,-6.154938221E0,3.568296671E0,7.180262566E0
8.669840462E1,-6.084349632E0,3.611965895E0,7.181458950E0
8.670075817E1,-6.008975983E0,3.607778311E0,7.187440872E0
8.670311166E1,-5.932405472E0,3.617947817E0,7.159325123E0
8.670546520E1,-5.855835438E0,3.632902861E0,7.112665176E0
