"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.434187960E-1,-6.093201414E-2,2.672456764E-2,-4.275930673E-2
2.457723370E-1,-6.077930331E-2,2.428117767E-2,-4.398100078E-2
2.481258790E-1,-6.337540597E-2,2.305948362E-2,-4.275930673E-2
2.504794730E-1,-6.337540597E-2,2.199050039E-2,-4.153761268E-2
2.528330140E-1,-6.581879407E-2,2.305948362E-2,-4.275930673E-2
2.551865560E-1,-6.581879407E-2,2.199050039E-2,-4.153761268E-2
2.575400980E-1,-6.826218218E-2,1.832541823E-2,-4.153761268E-2
2.598936390E-1,-6.704048812E-2,1.359135192E-2,-3.787253052E-2
2.622471810E-1,-6.826218218E-2,1.114796288E-2,-3.420744836E-2
2.646007230E-1,-6.963659078E-2,8.857285604E-3,-3.054236248E-2
2.669542640E-1,-6.963659078E-2,5.192201585E-3,-2.809897438E-2
2.693078060E-1,-6.978929788E-2,5.192201585E-3,-2.321219631E-2
2.716613480E-1,-7.101099193E-2,5.192201585E-3,-1.954711229E-2
2.740148890E-1,-7.345438004E-2,5.192201585E-3,-1.954711229E-2
2.763684310E-1,-7.467607409E-2,3.970507067E-3,-1.832541823E-2
2.787219730E-1,-7.360709459E-2,2.901524538E-3,-1.588202827E-2
2.810755140E-1,-7.345438004E-2,4.581354442E-4,-1.710372418E-2
2.834291080E-1,-7.238540053E-2,4.581354442E-4,-1.343864016E-2
2.857826500E-1,-7.360709459E-2,1.679830020E-3,-1.343864016E-2
2.881361910E-1,-7.238540053E-2,1.679830020E-3,-1.099525020E-2
2.904897330E-1,-7.238540053E-2,1.679830020E-3,-1.343864016E-2
2.928432750E-1,-6.978929788E-2,4.581354442E-4,-1.221694518E-2
2.951968160E-1,-6.978929788E-2,-7.635590737E-4,-1.466033421E-2
2.975503580E-1,-6.856760383E-2,-1.985253533E-3,-1.817270555E-2
2.999039000E-1,-6.474980712E-2,-6.719320081E-3,-1.939439960E-2
3.022574410E-1,-6.215370819E-2,-9.162709117E-3,-2.061609551E-2
3.046109830E-1,-6.215370819E-2,-1.160609815E-2,-2.428117767E-2
3.069645250E-1,-6.200099736E-2,-1.389677543E-2,-2.794626169E-2
3.093180660E-1,-5.955760926E-2,-1.511846948E-2,-3.283303976E-2
3.116716080E-1,-5.818320066E-2,-1.527118124E-2,-3.756710514E-2
3.140251500E-1,-5.803048983E-2,-1.404948719E-2,-4.260659590E-2
3.163786910E-1,-5.803048983E-2,-1.282779220E-2,-4.382828996E-2
3.187322330E-1,-5.803048983E-2,-1.053711493E-2,-5.115845799E-2
3.210858270E-1,-5.787777901E-2,-7.024743594E-3,-5.848862603E-2
3.234393680E-1,-5.787777901E-2,-3.359660041E-3,-6.337540597E-2
3.257929100E-1,-5.650337040E-2,4.886778072E-3,-7.192726433E-2
3.281464520E-1,-5.772506446E-2,1.084253844E-2,-7.818844914E-2
3.304999930E-1,-5.635065958E-2,2.168507688E-2,-8.551861346E-2
3.328535350E-1,-5.512896553E-2,3.481829539E-2,-9.162709117E-2
3.352070770E-1,-5.772506446E-2,5.268557742E-2,-9.788827598E-2
3.375606180E-1,-5.635065958E-2,7.070557028E-2,-1.065928489E-1
3.399141600E-1,-5.772506446E-2,9.101624042E-2,-1.139230132E-1
3.422677020E-1,-5.894676223E-2,1.101052165E-1,-1.201841980E-1
3.446212430E-1,-6.139015034E-2,1.340809762E-1,-1.313321590E-1
3.469747850E-1,-6.276455522E-2,1.580567211E-1,-1.388150454E-1
3.493283270E-1,-6.398624927E-2,1.806580722E-1,-1.475196183E-1
3.516818680E-1,-6.658235192E-2,2.058555335E-1,-1.550024897E-1
3.540354620E-1,-6.902574003E-2,2.310529798E-1,-1.600419879E-1
3.563889520E-1,-7.040014863E-2,2.548760176E-1,-1.685938388E-1
3.587425460E-1,-6.917845458E-2,2.751866877E-1,-1.748550236E-1
3.610960870E-1,-6.795676053E-2,2.956500649E-1,-1.797417998E-1
3.634496290E-1,-6.810946763E-2,3.135173619E-1,-1.835595965E-1
3.658031710E-1,-6.810946763E-2,3.290939629E-1,-1.860029846E-1
3.681567120E-1,-7.070557028E-2,3.471139669E-1,-1.861557066E-1
3.705102540E-1,-7.345438004E-2,3.616215885E-1,-1.814216375E-1
3.728637960E-1,-7.360709459E-2,3.759764731E-1,-1.801999360E-1
3.752173370E-1,-7.360709459E-2,3.868190348E-1,-1.777565479E-1
3.775708790E-1,-7.498150319E-2,3.975088596E-1,-1.742441803E-1
3.799244210E-1,-7.635590434E-2,4.048390090E-1,-1.730224788E-1
3.822779620E-1,-7.895200700E-2,4.132381678E-1,-1.693574041E-1
3.846315040E-1,-7.773031294E-2,4.204156399E-1,-1.693574041E-1
3.869850460E-1,-8.032641560E-2,4.300364852E-1,-1.670667231E-1
3.893385870E-1,-8.032641560E-2,4.407263100E-1,-1.682884246E-1
3.916921290E-1,-7.910472155E-2,4.515688419E-1,-1.719534993E-1
3.940456710E-1,-8.170082420E-2,4.622586668E-1,-1.745496094E-1
3.963992120E-1,-8.292251825E-2,4.766135812E-1,-1.782146841E-1
3.987528060E-1,-8.429691941E-2,4.874561131E-1,-1.808107942E-1
4.011063480E-1,-8.551861346E-2,5.018110275E-1,-1.844758689E-1
4.034598890E-1,-8.551861346E-2,5.173876286E-1,-1.895153672E-1
4.058134310E-1,-8.811471611E-2,5.376983285E-1,-1.933331639E-1
4.081669730E-1,-8.948912472E-2,5.557183027E-1,-1.957765520E-1
4.105205140E-1,-9.330692142E-2,5.748072863E-1,-1.983726472E-1
4.128740560E-1,-9.712471068E-2,5.940489769E-1,-1.997470558E-1
4.152275980E-1,-9.849911928E-2,6.119162440E-1,-1.998997629E-1
4.175811390E-1,-1.010952219E-1,6.311579347E-1,-1.986780763E-1
4.199346810E-1,-1.036913246E-1,6.467345357E-1,-2.012741715E-1
4.222882230E-1,-1.062874198E-1,6.647545099E-1,-1.989834905E-1
4.246417640E-1,-1.076618284E-1,6.850652099E-1,-1.977618039E-1
4.269953060E-1,-1.116323397E-1,7.078192830E-1,-2.003578991E-1
4.293488480E-1,-1.128540337E-1,7.258392572E-1,-2.017323077E-1
4.317024410E-1,-1.130067408E-1,7.438592315E-1,-1.992889196E-1
4.340559830E-1,-1.107160673E-1,7.606575489E-1,-1.994416267E-1
4.364095250E-1,-1.096470803E-1,7.811209559E-1,-1.982199401E-1
4.387630660E-1,-1.085781008E-1,8.002098799E-1,-1.994416267E-1
4.411166080E-1,-1.036913246E-1,8.194515705E-1,-1.994416267E-1
4.434701500E-1,-1.001789495E-1,8.458707333E-1,-2.008160353E-1
4.458236910E-1,-9.910997003E-2,8.686248064E-1,-1.995943487E-1
4.481772330E-1,-9.300149232E-2,8.915315866E-1,-1.983726472E-1
4.505307750E-1,-8.460234851E-2,9.179506898E-1,-1.934858710E-1
4.528843160E-1,-7.879929990E-2,9.491039515E-1,-1.849340051E-1
