"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.059532233E0,8.862166405E-1,8.482751846E-1,2.424272060E0
2.078360566E0,1.327735662E0,9.735393524E-1,2.155036449E0
2.097188900E0,1.609993815E0,1.152278900E0,1.845476389E0
2.116017233E0,1.710113287E0,1.136182785E0,1.530822396E0
2.134845618E0,1.612160087E0,9.362049103E-1,1.369652748E0
2.153673952E0,1.525729895E0,7.131404877E-1,1.196823120E0
2.172502285E0,1.367554188E0,5.657472610E-1,9.025599957E-1
2.191330670E0,1.170766473E0,7.003908157E-1,5.089616776E-1
2.210159004E0,1.104161263E0,7.228107452E-1,2.869689465E-1
2.228987337E0,1.278061390E0,5.636520386E-1,3.413294554E-1
2.247815723E0,1.584149480E0,4.350595474E-1,5.214525461E-1
2.266644056E0,1.574543238E0,4.324493408E-1,3.286656141E-1
2.285472389E0,1.179490566E0,6.540174484E-1,-9.619289637E-2
2.304300775E0,9.483261108E-1,8.057022095E-1,-1.851297021E-1
2.323129108E0,1.116333723E0,5.190153122E-1,-1.227380633E-1
2.341957441E0,1.288239598E0,-1.030673981E-1,-1.930964589E-1
2.360785827E0,9.993236065E-1,-3.684492111E-1,-3.247984648E-1
2.379614160E0,6.970951557E-1,-5.833044052E-1,-6.046439409E-1
2.398442493E0,5.438499451E-1,-4.273986816E-1,-7.756329775E-1
2.417270879E0,3.871412277E-1,9.070301056E-2,-9.244286418E-1
2.436099212E0,3.513431549E-2,7.097082138E-1,-8.583193421E-1
2.454927545E0,-1.882996559E-1,8.285465240E-1,-9.131653309E-1
2.473755879E0,-4.405817986E-1,4.873228073E-1,-9.053137302E-1
2.492584264E0,-7.700240612E-1,8.927536011E-2,-9.327133894E-1
2.511412598E0,-1.375641346E0,-1.994342804E-1,-8.884940147E-1
2.530240931E0,-2.024116278E0,-4.214496613E-1,-8.512917161E-1
2.549069264E0,-2.481272221E0,-5.569896698E-1,-7.767809629E-1
2.567897650E0,-2.740288734E0,-6.986465454E-1,-4.582060575E-1
2.586725983E0,-2.877333641E0,-9.164829254E-1,-3.091949224E-1
2.605554316E0,-3.017590046E0,-1.252948761E0,-2.376915812E-1
2.624382702E0,-3.125625134E0,-1.541442394E0,-2.010260820E-1
