"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.699576903E0,-6.753702164E-1,6.443061829E-1,9.933328629E-2
2.718405132E0,-5.479583740E-1,6.250214577E-1,6.301069260E-2
2.737233413E0,-5.996060371E-1,7.950377464E-1,-3.056049347E-2
2.756061642E0,-6.930737495E-1,9.497988224E-1,-1.366786957E-1
2.774889923E0,-7.522983551E-1,1.071788788E0,-1.714701653E-1
2.793718153E0,-7.451653481E-1,1.012722611E0,-1.255617142E-1
2.812546434E0,-6.581983566E-1,9.004868269E-1,-4.454135895E-3
2.831374663E0,-6.907186508E-1,8.290930986E-1,-5.441236496E-2
2.850202892E0,-6.914334297E-1,6.658203602E-1,-2.496805191E-1
2.869031173E0,-5.049314499E-1,4.216220379E-1,-5.376973152E-1
2.887859403E0,-3.719635010E-1,4.655462503E-1,-5.643539429E-1
2.906687684E0,-3.560748100E-1,4.079198837E-1,-4.836540222E-1
2.925515913E0,-4.958858490E-1,1.656119823E-1,-4.843387604E-1
2.944344194E0,-7.102699280E-1,9.087800980E-3,-6.879386902E-1
2.963172423E0,-9.338822365E-1,-1.025336981E-1,-1.161036491E0
2.982000705E0,-1.020890713E0,-2.443643808E-1,-1.589968681E0
3.000828934E0,-9.749464989E-1,-3.214242458E-1,-1.804078102E0
3.019657215E0,-8.044300079E-1,-3.726544380E-1,-1.805227757E0
3.038485444E0,-7.714881897E-1,-4.480409622E-1,-1.778517246E0
3.057313673E0,-9.026336670E-1,-4.872286022E-1,-2.142124653E0
3.076141955E0,-9.374165535E-1,-5.408102870E-1,-2.355697632E0
3.094970184E0,-7.703175545E-1,-6.368603706E-1,-2.454692364E0
3.113798465E0,-6.773080826E-1,-3.664854765E-1,-2.370944500E0
3.132626694E0,-6.747202873E-1,-2.216412425E-1,-2.049680710E0
3.151454975E0,-6.735143661E-1,-3.224869967E-1,-2.103645325E0
3.170283205E0,-1.051126003E0,-2.489880323E-1,-2.139087200E0
3.189111486E0,-1.157506943E0,-3.807488680E-1,-2.338289261E0
3.207939715E0,-1.253601551E0,-4.224948883E-1,-2.284202576E0
3.226767996E0,-1.368181705E0,-9.150600433E-2,-2.227696419E0
3.245596225E0,-1.606884956E0,-1.967767477E-1,-2.274869442E0
3.264424507E0,-1.595807552E0,-3.091757298E-1,-2.504181385E0
3.283252736E0,-1.587544918E0,-4.039723873E-1,-2.700992584E0
3.302081017E0,-1.675347328E0,-3.574442863E-1,-2.944228649E0
3.320909246E0,-1.736768723E0,-1.628372669E-1,-3.382679939E0
3.339737475E0,-1.690838814E0,1.332452297E-1,-3.533003807E0
3.358565757E0,-1.486496449E0,6.318023205E-1,-3.483753681E0
3.377393986E0,-1.327089310E0,8.780496120E-1,-3.480415821E0
3.396222267E0,-1.073083401E0,6.395804882E-1,-3.761315346E0
3.415050496E0,-1.023934841E0,1.055088282E0,-3.447017193E0
3.433878725E0,-1.190483570E0,1.433981895E0,-2.961179733E0
3.452707007E0,-1.399247169E0,1.440212250E0,-2.590794086E0
3.471535288E0,-1.897536278E0,1.831574440E0,-2.280497074E0
3.490363517E0,-2.767161846E0,2.025824547E0,-2.013607502E0
3.509191746E0,-3.233106136E0,1.785890102E0,-1.968668461E0
